Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
SRR1039508_align	22935521	22935521	1178839	20934014	822668	119912	1347706	699488	70660	97.06	35330.0	673853.0	349744.0
SRR1039509_align	21155707	21155707	1380028	19084026	691653	117723	1715235	737301	72074	95.95	36037.0	857617.5	368650.5
SRR1039512_align	28136282	28136282	1321583	25917049	897650	137627	1267609	1011201	89102	97.75	44551.0	633804.5	505600.5
SRR1039513_align	16823088	16823088	929146	15391352	502590	86553	908207	717681	59298	97.3	29649.0	454103.5	358840.5
SRR1039516_align	27298970	27298970	1436622	24966100	896248	117655	1473886	1070286	93762	97.3	46881.0	736943.0	535143.0
SRR1039517_align	34298260	34298260	1740665	31526542	1031053	150311	1706054	1365416	109238	97.51	54619.0	853027.0	682708.0
SRR1039520_align	21275888	21275888	1169944	19432199	673745	117326	1122799	908191	74246	97.36	37123.0	561399.5	454095.5
SRR1039521_align	23487860	23487860	1354959	21400311	732590	126372	1334596	1039806	82772	97.16	41386.0	667298.0	519903.0
