Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
SRR1039508	25194861	19531226	348517	0	0	0	0	0	0	3144566	0	0	1013525	0	1157027	77.52067375962106
SRR1039509	22778258	17907061	514200	0	0	0	0	0	0	2378383	0	0	915254	0	1063360	78.6147079377185
SRR1039512	30379790	24335831	141990	0	0	0	0	0	0	3222752	0	0	1302118	0	1377099	80.10532989201045
SRR1039513	18069626	14648457	101011	0	0	0	0	0	0	1804221	0	0	678754	0	837183	81.06674150311689
SRR1039516	29638649	23420051	213448	0	0	0	0	0	0	3321827	0	0	1323040	0	1360283	79.01861856119015
SRR1039517	36942547	29731429	182855	0	0	0	0	0	0	3774862	0	0	1590518	0	1662883	80.48018183478254
SRR1039520	22937341	18349592	117162	0	0	0	0	0	0	2403317	0	0	1016366	0	1050904	79.99877579532867
SRR1039521	25586177	20429089	154801	0	0	0	0	0	0	2906880	0	0	971712	0	1123695	79.84424167784034
