"ensembl_id","log2FoldChange","padj","baseMean"
"ENSG00000165995",3.29091307601289,7.8388129530891e-139,538.03036223499
"ENSG00000152583",4.57233080811399,3.4328779352604e-129,1005.42636539068
"ENSG00000120129",2.94999710098745,2.31604841107874e-128,3431.59762995739
"ENSG00000101347",3.76382754240412,4.60095257019001e-122,13364.7823536093
"ENSG00000189221",3.34743659422507,9.0801653065814e-121,2353.48883494415
"ENSG00000211445",3.72856810523963,8.86213052395818e-109,12329.5658495506
"ENSG00000162614",2.03367621106527,2.9763780271924e-102,5498.61435114061
"ENSG00000157214",1.96954313100953,1.44072098055014e-100,3039.70472459766
"ENSG00000125148",2.20755686019127,5.43502018034137e-90,3666.2604223593
"ENSG00000154734",2.34616642091503,2.3146335396991e-87,30530.6701059296
"ENSG00000179094",3.2236492853875,1.00607805607379e-83,802.536227157314
"ENSG00000162493",1.88765412454031,3.16229656347203e-83,1096.62715260831
"ENSG00000139132",2.22941082624567,3.59505121459285e-81,1223.95816411422
"ENSG00000162692",-3.68392881584951,3.72302117729583e-81,510.595942487344
"ENSG00000134243",2.19297919896099,5.15932787229797e-81,5574.5619831281
"ENSG00000163884",4.45838023207249,1.36580545570691e-76,564.485621419936
"ENSG00000178695",-2.52419368838414,4.07718760474795e-75,2670.43650493962
"ENSG00000146250",-2.73643407696566,4.01727073540693e-70,315.164206280018
"ENSG00000198624",2.92833529790523,7.56242471805118e-70,2062.90659037474
"ENSG00000172403",1.74575745521103,9.64255659192402e-70,9209.31217036224
